입찰공고번호,입찰공고차수,입찰공고명,업무구분명,계약체결형태명,계약체결방법명,낙찰자결정방법명,적격심사여부,공고기관명,공고기관코드,수요기관명,수요기관코드,낙찰하한율,예정가격,기초금액,추정가격,개찰일자,개찰시각,개찰결과구분명,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체사업자등록번호,최종낙찰업체주소
SCF0434,1,(긴급) 격자 부재  커플링용 등 30종,물품,총액계약,제한경쟁,적격심사제,Y,해군군수사령부,ZD00289,해군군수사령부,ZD00289,87.995,10361928,10403000,9647273,2025-06-11,10:30,개찰완료,9119880,88.013,2025-06-11,주식회사 비에스인터내셔날,김남현,김남현,634-86-03181,부산광역시 강서구 명지국제12로11번길17-0 (명지동) 101호
SCF0435,1,(긴급) 전원공급기 조립체 등 2종,물품,총액계약,제한경쟁,적격심사제,Y,해군군수사령부,ZD00289,해군군수사령부,ZD00289,87.995,10786985,10782000,9998182,2025-06-11,10:30,개찰완료,9933450,92.087,2025-06-11,일용상사,권윤주,권윤주,215-42-01090,경상남도 창원시 의창구 북면 동곡로35-0 (창원무동휴먼빌아파트(2단지)) 205-804
SCF0436,1,(긴급) 실린더 조립체  작동식  선형 등 2종,물품,총액계약,제한경쟁,적격심사제,Y,해군군수사령부,ZD00289,해군군수사령부,ZD00289,87.995,14395079,14460000,13409091,2025-06-11,10:30,개찰완료,12667110,87.996,2025-06-11,글로리아,박미경,박미경,222-12-62180,서울특별시 강북구 도봉로144-0 (미아동) 4층
SCF0446,1,(긴급)볼트  기계용 등 8종,물품,총액계약,제한경쟁,적격심사제,Y,해군군수사령부,ZD00289,해군군수사령부,ZD00289,87.995,4518015,4538000,4208318,2025-06-11,10:30,개찰완료,3985260,88.208,2025-06-11,조이스툴,이나은,이나은,266-08-01279,"서울특별시 서대문구 포방터2길24, 201호(홍은동)"
SCF0445,1,(긴급)시일  비금속 특수단면용 등 48종,물품,총액계약,제한경쟁,적격심사제,Y,해군군수사령부,ZD00289,해군군수사령부,ZD00289,87.995,31793480,31794000,29481727,2025-06-11,10:30,개찰완료,27976740,87.995,2025-06-11,지원시스템,송선의,송선의,308-09-21504,"경기도 김포시 걸포2로74 (걸포동, 한강메트로자이2단지) 상가2동 107호"
SCF0438,1,제주 잠수함 훈련장비(저주파  대함) 유지보수 용역,용역,총액계약,일반경쟁,적격심사제,Y,해군군수사령부,ZD00289,해군군수사령부,ZD00289,87.745,73989307,73500000,72204545,2025-06-11,10:30,개찰완료,64994000,87.842,2025-06-11,(주)이엔씨테크,이종희,이은경,301-81-57064,충청북도 청주시 흥덕구 2순환로742번길2 (화계동)
SCQ0066,2,25~27-도서(어) LPG 구매,물품,단가계약,제한경쟁,적격심사제,Y,제9911부대,1290334,제9911부대,1290334,87.995,,7986,106638545,2025-06-11,10:30,유찰,,,,,,,,
UMM0413,2,25-N-해상 감시·정찰용 소형 무인기 임차용역,용역,총액계약,일반경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,82.995,774980831,777250000,720727273,2025-06-11,11:00,개찰완료,685260300,88.422,2025-06-11,주식회사 코엠이노베이션,홍요섭,홍요섭,817-81-00538,"경기도 포천시 군내면 용정경제로1길13-20, 849호"
UMM0519,1,(256136-E) 인쇄장비 구매설치,물품,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.995,246637970,246911764,228954545,2025-06-11,11:00,개찰완료,217031000,87.995,2025-06-11,민스타니,강민아,강민아,306-33-64157,"경기도 김포시 김포대로926번길46, 305동 1202호(북변동, 풍년마을삼성아파트)"
UMM0525,1,(257128-B) 환자시뮬레이터 구매,물품,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.995,166610863,167156860,155000000,2025-06-11,11:00,개찰완료,146646440,88.017,2025-06-13,엔알디베스트,김동환,김동환,680-51-00846,"인천광역시 남동구 성말로13번길87, 402호(구월동, 로뎀하우스)"
EBB0190,2,25~'26 C-130 지시기 자세용 정비(D),물품,총액계약,수의계약,적격심사제,Y,방위사업청,1690000,방위사업청,1690000,,,198754000,0,2025-06-12,15:00,유찰,,,,,,,,
EBB0201,1,25년~26년 MH60R 기체 창정비,물품,총액계약,일반경쟁,적격심사제,Y,방위사업청,1690000,방위사업청,1690000,,2949877340,2940000000,0,2025-06-12,10:30,개찰완료,2485115000,84.244,2025-06-12,주식회사 대한항공,우기홍,이원석,110-81-14794,서울특별시 강서구 하늘길 260대한항공 항공우주사업본부
EBH0075,1,리튬전지류(BA-6853K 등 3종),물품,총액계약,수의계약,적격심사제,Y,방위사업청,1690000,방위사업청,1690000,0,,7407774000,0,2025-06-12,11:00,유찰,,,,,,,,
EBH0069,1,25년 비호 체계 수리부속(구매),물품,총액계약,일반경쟁,적격심사제,Y,방위사업청,1690000,방위사업청,1690000,82.995,323892876,324548000,0,2025-06-12,11:00,개찰완료,273395055,84.409,2025-06-12,매쉬미디어(주),김문선,김성은,128-86-73106,서울특별시 마포구 양화로183-0 (동교동) 효성홍익인간오피스텔 14층 1412호
